refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid,id,libname,cas,library
4-Nitrophenol,Benzenoids,Phenols,Nitrophenols,C6H5NO3,139.026944,BTJIUGUIPKRLHP-UHFFFAOYSA-N,c1cc(ccc1[N+](=O)[O-])O,980,RefMet_1702,HMDB0062627_c_ms_102545,-,MoNA-export-HMDB
Benzo[a]pyrene,Polyketides,Aromatic polyketides,Anthracenes and phenanthrenes,C20H12,252.0939,FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,2336,RefMet_132360,HMDB0062469_c_ms_102514,50-32-8,MoNA-export-HMDB
Benzo[a]pyrene,Polyketides,Aromatic polyketides,Anthracenes and phenanthrenes,C20H12,252.0939,FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,2336,RefMet_132360,HMDB0062469_c_ms_102513,50-32-8,MoNA-export-HMDB
Benzo[a]pyrene,Polyketides,Aromatic polyketides,Anthracenes and phenanthrenes,C20H12,252.0939,FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,2336,RefMet_132360,HMDB0062469_c_ms_102512,50-32-8,MoNA-export-HMDB
1-Nitronaphthalene,Benzenoids,Naphthalenes,Naphthalenes,C10H7NO2,173.047679,RJKGJBPXVHTNJL-UHFFFAOYSA-N,c1ccc2c(c1)cccc2[N+](=O)[O-],6849,RefMet_1569,HMDB0062188_c_ms_102507,86-57-7,MoNA-export-HMDB
Acetonitrile,Organic nitrogen compounds,Cyanides,Nitriles,C2H3N,41.026549,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,6342,RefMet_130880,HMDB0061869_c_ms_102479,75-05-8,MoNA-export-HMDB
Acetonitrile,Organic nitrogen compounds,Cyanides,Nitriles,C2H3N,41.026549,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,6342,RefMet_130880,HMDB0061869_c_ms_102478,75-05-8,MoNA-export-HMDB
Acetonitrile,Organic nitrogen compounds,Cyanides,Nitriles,C2H3N,41.026549,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,6342,RefMet_130880,HMDB0061869_c_ms_102477,75-05-8,MoNA-export-HMDB
Acetonitrile,Organic nitrogen compounds,Cyanides,Nitriles,C2H3N,41.026549,WEVYAHXRMPXWCK-UHFFFAOYSA-N,CC#N,6342,RefMet_130880,HMDB0061869_c_ms_102476,75-05-8,MoNA-export-HMDB
beta-Elemene,Prenol Lipids,Isoprenoids,C15 isoprenoids,C15H24,204.1878,OPFTUNCRGUEPRZ-QLFBSQMISA-N,C=C[C@]1(C)CC[C@H](C[C@H]1C(=C)C)C(=C)C,6918391,RefMet_133277,HMDB0061848_c_ms_102475,515-13-9,MoNA-export-HMDB
beta-Elemene,Prenol Lipids,Isoprenoids,C15 isoprenoids,C15H24,204.1878,OPFTUNCRGUEPRZ-QLFBSQMISA-N,C=C[C@]1(C)CC[C@H](C[C@H]1C(=C)C)C(=C)C,6918391,RefMet_133277,HMDB0061848_c_ms_102474,515-13-9,MoNA-export-HMDB
1-Tetradecene,Fatty Acyls,Hydrocarbons,Hydrocarbons,C14H28,196.2191,HFDVRLIODXPAHB-UHFFFAOYSA-N,C=CCCCCCCCCCCCC,14260,RefMet_21275,HMDB0061834_c_ms_102472,1120-36-1,MoNA-export-HMDB
1-Tetradecene,Fatty Acyls,Hydrocarbons,Hydrocarbons,C14H28,196.2191,HFDVRLIODXPAHB-UHFFFAOYSA-N,C=CCCCCCCCCCCCC,14260,RefMet_21275,HMDB0061834_c_ms_102471,1120-36-1,MoNA-export-HMDB
1-Tetradecene,Fatty Acyls,Hydrocarbons,Hydrocarbons,C14H28,196.2191,HFDVRLIODXPAHB-UHFFFAOYSA-N,C=CCCCCCCCCCCCC,14260,RefMet_21275,HMDB0061834_c_ms_102470,1120-36-1,MoNA-export-HMDB
Heneicosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C21H44,296.344301,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCC,12403,RefMet_21301,HMDB0061782_c_ms_1792,629-94-7,MoNA-export-HMDB
Bromodichloromethane,Organohalogen compounds,Alkyl halides,Halomethanes,CHBrCl2,161.863868,FMWLUWPQPKEARP-UHFFFAOYSA-N,C(Br)(Cl)Cl,6359,RefMet_131387,HMDB0061732_c_ms_102463,-,MoNA-export-HMDB
6-oxopiperidine-2-carboxylic acid,Organic acids,Amino acids and peptides,Amino acids,C6H9NO3,143.058244,FZXCPFJMYOQZCA-UHFFFAOYSA-N,C1CC(C(=O)O)NC(=O)C1,3014237,RefMet_120968,HMDB0061705_c_ms_1196,-,MoNA-export-HMDB
3-Hydroxyhexadecanoic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C16H32O3,272.235145,CBWALJHXHCJYTE-UHFFFAOYSA-N,CCCCCCCCCCCCCC(CC(=O)O)O,301590,RefMet_3036,HMDB0061658_c_ms_1867,83780-74-9,MoNA-export-HMDB
3-Hydroxytetradecanoic acid,Fatty Acyls,Fatty acids,Hydroxy FA,C14H28O3,244.203845,ATRNZOYKSNPPBF-UHFFFAOYSA-N,CCCCCCCCCCCC(CC(=O)O)O,16064,RefMet_3043,HMDB0061656_c_ms_1737,35683-15-9,MoNA-export-HMDB
"2,6-Dimethylaniline",Benzenoids,Benzenes,Other benzenes,C8H11N,121.089149,UFFBMTHBGFGIHF-UHFFFAOYSA-N,Cc1cccc(C)c1N,6896,RefMet_1179,HMDB0060677_c_ms_102445,-,MoNA-export-HMDB
"2,6-Dimethylaniline",Benzenoids,Benzenes,Other benzenes,C8H11N,121.089149,UFFBMTHBGFGIHF-UHFFFAOYSA-N,Cc1cccc(C)c1N,6896,RefMet_1179,HMDB0060677_c_ms_102444,-,MoNA-export-HMDB
"2,6-Dimethylaniline",Benzenoids,Benzenes,Other benzenes,C8H11N,121.089149,UFFBMTHBGFGIHF-UHFFFAOYSA-N,Cc1cccc(C)c1N,6896,RefMet_1179,HMDB0060677_c_ms_102443,-,MoNA-export-HMDB
"2,6-Dimethylaniline",Benzenoids,Benzenes,Other benzenes,C8H11N,121.089149,UFFBMTHBGFGIHF-UHFFFAOYSA-N,Cc1cccc(C)c1N,6896,RefMet_1179,HMDB0060677_c_ms_102442,-,MoNA-export-HMDB
"2,6-Dimethylaniline",Benzenoids,Benzenes,Other benzenes,C8H11N,121.089149,UFFBMTHBGFGIHF-UHFFFAOYSA-N,Cc1cccc(C)c1N,6896,RefMet_1179,HMDB0060677_c_ms_102441,-,MoNA-export-HMDB
Isonicotinic acid,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,C6H5NO2,123.032029,TWBYWOBDOCUKOW-UHFFFAOYSA-N,c1cnccc1C(=O)O,5922,RefMet_358,HMDB0060665_c_ms_102440,55-22-1,MoNA-export-HMDB
Isonicotinic acid,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,C6H5NO2,123.032029,TWBYWOBDOCUKOW-UHFFFAOYSA-N,c1cnccc1C(=O)O,5922,RefMet_358,HMDB0060665_c_ms_102439,55-22-1,MoNA-export-HMDB
Isonicotinic acid,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,C6H5NO2,123.032029,TWBYWOBDOCUKOW-UHFFFAOYSA-N,c1cnccc1C(=O)O,5922,RefMet_358,HMDB0060665_c_ms_102438,55-22-1,MoNA-export-HMDB
6-Aminopenicillanic acid,Organoheterocyclic compounds,Beta lactams,Penicillins,C8H12N2O3S,216.056865,NGHVIOIJCVXTGV-ALEPSDHESA-N,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H]([C@H]2S1)N,11082,RefMet_131687,HMDB0060618_c_ms_102435,-,MoNA-export-HMDB
6-Aminopenicillanic acid,Organoheterocyclic compounds,Beta lactams,Penicillins,C8H12N2O3S,216.056865,NGHVIOIJCVXTGV-ALEPSDHESA-N,CC1(C)[C@H](C(=O)O)N2C(=O)[C@H]([C@H]2S1)N,11082,RefMet_131687,HMDB0060618_c_ms_102434,-,MoNA-export-HMDB
Indolepyruvate,Alkaloids,Tryptophan alkaloids,Indolecarboxylic acids,C11H9NO3,203.058244,RSTKLPZEZYGQPY-UHFFFAOYSA-N,c1ccc2c(c1)c(CC(=O)C(=O)O)c[nH]2,803,RefMet_525,HMDB0060484_c_ms_1863,392-12-1,MoNA-export-HMDB
Indolepyruvate,Alkaloids,Tryptophan alkaloids,Indolecarboxylic acids,C11H9NO3,203.058244,RSTKLPZEZYGQPY-UHFFFAOYSA-N,c1ccc2c(c1)c(CC(=O)C(=O)O)c[nH]2,803,RefMet_525,HMDB0060484_c_ms_1829,392-12-1,MoNA-export-HMDB
4-Nitrophenyl phosphate,Benzenoids,Benzenes,Nitrobenzenes,C6H6NO6P,218.993277,XZKIHKMTEMTJQX-UHFFFAOYSA-N,c1cc(ccc1[N+](=O)[O-])OP(=O)(O)O,378,RefMet_1140,HMDB0060272_c_ms_102427,-,MoNA-export-HMDB
"1,3,5-Trimethoxybenzene",Benzenoids,Phenols,Anisoles,C9H12O3,168.078644,LKUDPHPHKOZXCD-UHFFFAOYSA-N,COc1cc(cc(c1)OC)OC,69301,RefMet_1647,HMDB0059963_c_ms_102423,621-23-8,MoNA-export-HMDB
p-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,7809,RefMet_1270,HMDB0059924_c_ms_102420,-,MoNA-export-HMDB
p-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,7809,RefMet_1270,HMDB0059924_c_ms_102419,-,MoNA-export-HMDB
p-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,7809,RefMet_1270,HMDB0059924_c_ms_102418,-,MoNA-export-HMDB
Eicosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C20H42,282.328651,CBFCDTFDPHXCNY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC,8222,RefMet_21298,HMDB0059909_c_ms_1725,-,MoNA-export-HMDB
Tetradecane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C14H30,198.234751,BGHCVCJVXZWKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCC,12389,RefMet_21335,HMDB0059907_c_ms_1094,-,MoNA-export-HMDB
Ethylbenzene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,7500,RefMet_1234,HMDB0059905_c_ms_102416,100-41-4,MoNA-export-HMDB
Ethylbenzene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,7500,RefMet_1234,HMDB0059905_c_ms_102415,100-41-4,MoNA-export-HMDB
Ethylbenzene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1,7500,RefMet_1234,HMDB0059905_c_ms_102414,100-41-4,MoNA-export-HMDB
Pentadecane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C15H32,212.250401,YCOZIPAWZNQLMR-UHFFFAOYSA-N,CCCCCCCCCCCCCCC,12391,RefMet_21332,HMDB0059886_c_ms_1183,-,MoNA-export-HMDB
Benzyl chloride,Benzenoids,Benzenes,Other benzenes,C7H7Cl,126.023628,KCXMKQUNVWSEMD-UHFFFAOYSA-N,c1ccc(cc1)CCl,7503,RefMet_1209,HMDB0059882_c_ms_102397,-,MoNA-export-HMDB
Benzyl chloride,Benzenoids,Benzenes,Other benzenes,C7H7Cl,126.023628,KCXMKQUNVWSEMD-UHFFFAOYSA-N,c1ccc(cc1)CCl,7503,RefMet_1209,HMDB0059882_c_ms_102396,-,MoNA-export-HMDB
Benzyl chloride,Benzenoids,Benzenes,Other benzenes,C7H7Cl,126.023628,KCXMKQUNVWSEMD-UHFFFAOYSA-N,c1ccc(cc1)CCl,7503,RefMet_1209,HMDB0059882_c_ms_102395,-,MoNA-export-HMDB
o-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,7237,RefMet_1261,HMDB0059851_c_ms_102377,-,MoNA-export-HMDB
o-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,7237,RefMet_1261,HMDB0059851_c_ms_102376,-,MoNA-export-HMDB
o-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,7237,RefMet_1261,HMDB0059851_c_ms_102375,-,MoNA-export-HMDB
Camphene,Prenol Lipids,Isoprenoids,C10 isoprenoids,C10H16,136.1252,CRPUJAZIXJMDBK-BDAKNGLRSA-N,C=C1[C@@H]2CC[C@@H](C2)C1(C)C,440966,RefMet_133125,HMDB0059839_c_ms_102369,79-92-5,MoNA-export-HMDB
Camphene,Prenol Lipids,Isoprenoids,C10 isoprenoids,C10H16,136.1252,CRPUJAZIXJMDBK-BDAKNGLRSA-N,C=C1[C@@H]2CC[C@@H](C2)C1(C)C,440966,RefMet_133125,HMDB0059839_c_ms_102368,79-92-5,MoNA-export-HMDB
Camphor,Prenol Lipids,Isoprenoids,C10 isoprenoids,C10H16O,152.120115,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C)C2CCC1(C)C(=O)C2,2537,RefMet_133126,HMDB0059838_c_ms_102367,464-49-3,MoNA-export-HMDB
Camphor,Prenol Lipids,Isoprenoids,C10 isoprenoids,C10H16O,152.120115,DSSYKIVIOFKYAU-UHFFFAOYSA-N,CC1(C)C2CCC1(C)C(=O)C2,2537,RefMet_133126,HMDB0059838_c_ms_102366,464-49-3,MoNA-export-HMDB
Heptadecane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C17H36,240.281701,NDJKXXJCMXVBJW-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC,12398,RefMet_21306,HMDB0059830_c_ms_1366,-,MoNA-export-HMDB
m-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,7929,RefMet_1250,HMDB0059810_c_ms_102345,-,MoNA-export-HMDB
m-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,7929,RefMet_1250,HMDB0059810_c_ms_102344,-,MoNA-export-HMDB
m-Xylene,Benzenoids,Benzenes,Other benzenes,C8H10,106.07825,IVSZLXZYQVIEFR-UHFFFAOYSA-N,Cc1cccc(C)c1,7929,RefMet_1250,HMDB0059810_c_ms_102343,-,MoNA-export-HMDB
beta-Hexachlorocyclohexane,Organohalogen compounds,Alkyl halides,Cyclohexyl halides,C6H6Cl6,287.860066,JLYXXMFPNIAWKQ-CDRYSYESSA-N,[C@@H]1([C@@H]([C@H]([C@@H]([C@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,727,RefMet_131385,HMDB0059785_c_ms_102341,-,MoNA-export-HMDB
beta-Hexachlorocyclohexane,Organohalogen compounds,Alkyl halides,Cyclohexyl halides,C6H6Cl6,287.860066,JLYXXMFPNIAWKQ-CDRYSYESSA-N,[C@@H]1([C@@H]([C@H]([C@@H]([C@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,727,RefMet_131385,HMDB0059785_c_ms_102340,-,MoNA-export-HMDB
"3,4-Dimethoxybenzoic acid",Polyketides,Phenolic acids,Phenolic acids,C9H10O4,182.05791,DAUAQNGYDSHRET-UHFFFAOYSA-N,COc1ccc(cc1OC)C(=O)O,7121,RefMet_132959,HMDB0059763_c_ms_102338,-,MoNA-export-HMDB
"3,4-Dimethoxybenzoic acid",Polyketides,Phenolic acids,Phenolic acids,C9H10O4,182.05791,DAUAQNGYDSHRET-UHFFFAOYSA-N,COc1ccc(cc1OC)C(=O)O,7121,RefMet_132959,HMDB0059763_c_ms_102337,-,MoNA-export-HMDB
meta-Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,JZKXXXDKRQWDET-QMMMGPOBSA-N,c1cc(cc(c1)O)C[C@@H](C(=O)O)N,6950578,RefMet_121251,HMDB0059720_c_ms_1616,-,MoNA-export-HMDB
meta-Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,JZKXXXDKRQWDET-QMMMGPOBSA-N,c1cc(cc(c1)O)C[C@@H](C(=O)O)N,6950578,RefMet_121251,HMDB0059720_c_ms_1543,-,MoNA-export-HMDB
2-Hydroxybenzyl alcohol,Polyketides,Phenolic acids,Phenolic acids,C7H8O2,124.05243,CQRYARSYNCAZFO-UHFFFAOYSA-N,c1ccc(c(c1)CO)O,5146,RefMet_132955,HMDB0059709_c_ms_102334,90-01-7,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_ms_ms_285768,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_ms_ms_285767,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102333,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102332,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102331,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102330,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102329,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102328,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102327,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102326,-,MoNA-export-HMDB
4-Methylumbelliferone,Polyketides,Flavonoids,Coumarins,C10H8O3,176.047345,HSHNITRMYYLLCV-UHFFFAOYSA-N,Cc1cc(=O)oc2cc(ccc12)O,5280567,RefMet_132547,HMDB0059622_c_ms_102325,-,MoNA-export-HMDB
Quinaldine,Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids,C10H9N,143.073499,SMUQFGGVLNAIOZ-UHFFFAOYSA-N,Cc1ccc2ccccc2n1,7060,RefMet_155,HMDB0042004_c_ms_102319,91-63-4,MoNA-export-HMDB
Quinaldine,Alkaloids,Anthranilic acid alkaloids,Quinazoline alkaloids,C10H9N,143.073499,SMUQFGGVLNAIOZ-UHFFFAOYSA-N,Cc1ccc2ccccc2n1,7060,RefMet_155,HMDB0042004_c_ms_102318,91-63-4,MoNA-export-HMDB
Pyrene,Benzenoids,Benzenes,Other benzenes,C16H10,202.07825,BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4ccc(c1)c2c34,31423,RefMet_1271,HMDB0042002_c_ms_102317,129-00-0,MoNA-export-HMDB
Pyrene,Benzenoids,Benzenes,Other benzenes,C16H10,202.07825,BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4ccc(c1)c2c34,31423,RefMet_1271,HMDB0042002_c_ms_102316,129-00-0,MoNA-export-HMDB
Pyrene,Benzenoids,Benzenes,Other benzenes,C16H10,202.07825,BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4ccc(c1)c2c34,31423,RefMet_1271,HMDB0042002_c_ms_102315,129-00-0,MoNA-export-HMDB
Pyrene,Benzenoids,Benzenes,Other benzenes,C16H10,202.07825,BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4ccc(c1)c2c34,31423,RefMet_1271,HMDB0042002_c_ms_102314,129-00-0,MoNA-export-HMDB
Pyrene,Benzenoids,Benzenes,Other benzenes,C16H10,202.07825,BBEAQIROQSPTKN-UHFFFAOYSA-N,c1cc2ccc3cccc4ccc(c1)c2c34,31423,RefMet_1271,HMDB0042002_c_ms_102313,129-00-0,MoNA-export-HMDB
Phosalone,Organoheterocyclic compounds,Benzoxazoles,Benzoxazolones,C12H15ClNO4PS2,366.986864,IOUNQDKNJZEDEP-UHFFFAOYSA-N,CCOP(=S)(OCC)SCn1c2ccc(cc2oc1=O)Cl,4793,RefMet_131646,HMDB0041985_c_ms_102309,2310-17-0,MoNA-export-HMDB
Pentachlorophenol,Benzenoids,Phenols,Chlorophenols,C6HCl5O,263.847005,IZUPBVBPLAPZRR-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)O)Cl)Cl)Cl,992,RefMet_1670,HMDB0041974_c_ms_102306,87-86-5,MoNA-export-HMDB
Pentachlorophenol,Benzenoids,Phenols,Chlorophenols,C6HCl5O,263.847005,IZUPBVBPLAPZRR-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)O)Cl)Cl)Cl,992,RefMet_1670,HMDB0041974_c_ms_102305,87-86-5,MoNA-export-HMDB
Pentachlorophenol,Benzenoids,Phenols,Chlorophenols,C6HCl5O,263.847005,IZUPBVBPLAPZRR-UHFFFAOYSA-N,c1(c(c(c(c(c1Cl)Cl)O)Cl)Cl)Cl,992,RefMet_1670,HMDB0041974_c_ms_102304,87-86-5,MoNA-export-HMDB
p-Dichlorobenzene,Benzenoids,Halobenzenes,Dichlorobenzenes,C6H4Cl2,145.969006,OCJBOOLMMGQPQU-UHFFFAOYSA-N,c1cc(ccc1Cl)Cl,4685,RefMet_1541,HMDB0041971_c_ms_102303,106-46-7,MoNA-export-HMDB
p-Dichlorobenzene,Benzenoids,Halobenzenes,Dichlorobenzenes,C6H4Cl2,145.969006,OCJBOOLMMGQPQU-UHFFFAOYSA-N,c1cc(ccc1Cl)Cl,4685,RefMet_1541,HMDB0041971_c_ms_102302,106-46-7,MoNA-export-HMDB
p-Dichlorobenzene,Benzenoids,Halobenzenes,Dichlorobenzenes,C6H4Cl2,145.969006,OCJBOOLMMGQPQU-UHFFFAOYSA-N,c1cc(ccc1Cl)Cl,4685,RefMet_1541,HMDB0041971_c_ms_102301,106-46-7,MoNA-export-HMDB
p-Dichlorobenzene,Benzenoids,Halobenzenes,Dichlorobenzenes,C6H4Cl2,145.969006,OCJBOOLMMGQPQU-UHFFFAOYSA-N,c1cc(ccc1Cl)Cl,4685,RefMet_1541,HMDB0041971_c_ms_102300,106-46-7,MoNA-export-HMDB
o-Toluidine,Benzenoids,Benzenes,Other benzenes,C7H9N,107.073499,RNVCVTLRINQCPJ-UHFFFAOYSA-N,Cc1ccccc1N,7242,RefMet_1259,HMDB0041965_c_ms_102299,95-53-4,MoNA-export-HMDB
